cik,entityName
1750,AAR CORP
1800,ABBOTT LABORATORIES
1961,WORLDS INC.
2034,ACETO CORP
2098,ACME UNITED CORP
2178,"ADAMS RESOURCES & ENERGY, INC."
2186,BK TECHNOLOGIES CORPORATION
2488,"ADVANCED MICRO DEVICES, INC"
2491,"BALLY TECHNOLOGIES, INC."
2969,"AIR PRODUCTS AND CHEMICALS, INC."
3116,AKORN INC
3197,CECO ENVIRONMENTAL CORP.
3453,"Matson, Inc."
3499,ALEXANDERS INC
3545,"ALICO, INC."
3570,"CHENIERE ENERGY, INC."
3673,"ALLEGHENY ENERGY, INC"
3952,ALLIED DEFENSE GROUP INC
3982,ALLIS CHALMERS ENERGY INC.
4127,"Skyworks Solutions, Inc."
4187,INDUSTRIAL SERVICES OF AMERICA INC
4281,Howmet Aerospace Inc.
4447,HESS CORPORATION
4457,U-Haul Holding Company
4515,"AMERICAN AIRLINES, INC."
4611,AMERICAN BILTRITE INC
4828,AMERICAN CRYSTAL SUGAR CO /MN/
4904,AMERICAN ELECTRIC POWER CO INC.
4962,AMERICAN EXPRESS COMPANY
4969,AMERICAN EXPRESS CREDIT CORP
4977,Aflac Incorporated
5117,EMTEC INC/NJ
5133,AMERICAN GREETINGS CORP
5187,WYETH
5272,"American International Group, Inc."
5513,Unum Group
5656,AMERICAN INTERNATIONAL VENTURES INC /DE/
5768,"AMERICAN SCIENCE & ENGINEERING, INC."
5981,AMERICAN VANGUARD CORPORATION
6176,AMPCO-PITTSBURGH CORP
6201,American Airlines Group Inc.
6207,AMREP CORP.
6281,"Analog Devices, Inc."
6284,ANALOGIC CORP
6292,ANALYSTS INTERNATIONAL CORP
6314,ANAREN INC
6494,ANDREA ELECTRONICS CORPORATION
6732,"NAC GLOBAL TECHNOLOGIES, INC."
6769,APACHE CORPORATION
6845,"APOGEE ENTERPRISES, INC."
6885,STAGE STORES INC
6951,APPLIED MATERIALS INC /DE
6955,ENERPAC TOOL GROUP CORP.
7032,ARAMARK CORP
7039,TRECORA RESOURCES
7084,ARCHER-DANIELS-MIDLAND CO
7286,ARIZONA PUBLIC SERVICE CO
7332,Southwestern Energy Company
7431,"ARMSTRONG WORLD INDUSTRIES, INC."
7536,"ARROW ELECTRONICS, INC."
7623,"ART’S-WAY MANUFACTURING CO., INC."
7789,Associated Banc-Corp
7951,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP
8063,ASTRONICS CORPORATION
8146,"AstroNova, Inc."
8177,ATLANTIC AMERICAN CORP
8328,"APPLIED MINERALS, INC."
8411,ATWOOD OCEANICS INC
8497,ASSURANCEAMERICA CORP
8504,AGEAGLE     AERIAL SYSTEMS INC.
8670,"AUTOMATIC DATA PROCESSING, INC."
8818,AVERY DENNISON CORPORATION
8855,AMERICAN LOCKER GROUP INC
8858,"Avnet, Inc."
8868,"AVON PRODUCTS, INC."
8947,AZZ Inc.
9092,"BADGER METER, INC."
9235,BKF CAPITAL GROUP INC
9263,MICHAEL BAKER CORP
9326,Balchem Corporation
9342,BALDOR ELECTRIC CO
9346,Protective Insurance Corporation
9389,BALL Corp
9892,BARD C R INC /NJ/
9984,BARNES GROUP INC
10048,"BARNWELL INDUSTRIES, INC."
10254,"EARTHSTONE ENERGY, INC."
10329,"BASSETT FURNITURE INDUSTRIES, INCORPORATED"
10456,BAXTER INTERNATIONAL INC.
10795,"Becton, Dickinson and Company"
11199,BEMIS CO INC
11544,W. R. BERKLEY CORP
12040,"FLANIGAN’S ENTERPRISES, INC."
12208,"BIO-RAD LABORATORIES, INC."
12239,DOMINARI HOLDINGS INC.
12400,BLACK HILLS POWER INC
12659,"H&R Block, Inc."
12779,BLUE RIDGE REAL ESTATE CO
12927,THE BOEING COMPANY
12978,OFFICEMAX INC
13033,COMJOYFUL INTERNATIONAL CO
13055,LEFT BEHIND GAMES INC.
13156,"Galaxy Gaming, Inc."
13239,HEXION INC.
13372,NSTAR ELECTRIC COMPANY
13573,BOWL AMERICA INC
13610,BOWNE & CO INC
14177,BRIDGFORD FOODS CORPORATION
14195,BRIGGS & STRATTON CORP
14272,BRISTOL-MYERS SQUIBB COMPANY
14693,Brown-Forman Corporation
14707,"CALERES, INC"
14846,BRT APARTMENTS CORP.
14930,Brunswick Corporation
15357,CHASE GENERAL CORP
15393,BUREAU OF NATIONAL AFFAIRS INC
15511,BNSF RAILWAY CO
15615,"MasTec, Inc."
15847,BUTLER NATIONAL CORP
16040,Cabot Corporation
16058,CACI International Inc
16099,LUB Liquidating Trust
16104,CAGLES INC
16160,"CAL-MAINE FOODS, INC."
16614,CAMCO FINANCIAL CORP
16732,CAMPBELL SOUP CO
16875,CANADIAN PACIFIC KANSAS CITY  LTD/CN
16918,"CONSTELLATION BRANDS, INC."
17313,CAPITAL SOUTHWEST CORPORATION
17485,"LIBERATOR MEDICAL HOLDINGS, INC."
17843,CARPENTER TECHNOLOGY CORPORATION
18061,CASCADE CORP
18169,DOLE FOOD CO INC
18172,A. M. CASTLE & CO.
18230,CATERPILLAR INC
18255,THE CATO CORPORATION
18349,SYNOVUS FINANCIAL CORP
18396,CDI CORP
18498,Genesco Inc
18808,CENTRAL VERMONT PUBLIC SERVICE CORP
18886,WOLVERINE HOLDING CORP.
18926,"LUMEN TECHNOLOGIES, INC."
18937,CERADYNE INC
19002,"CYBRDI, INC."
19149,CHAMPION INDUSTRIES INC
19353,CHARMING SHOPPES INC
19411,"MAGELLAN HEALTH, INC."
19446,CANTEL MEDICAL LLC
19584,CHEMED CORPORATION
19612,TCF FINANCIAL CORPORATION
19617,JPMorgan Chase & Co
19745,CHESAPEAKE UTILITIES CORP
19871,CHICAGO RIVET & MACHINE CO
20171,CHUBB CORP
20212,Churchill Downs Inc
20232,CHYRONHEGO CORP
20286,CINCINNATI FINANCIAL CORPORATION
20520,"FRONTIER COMMUNICATIONS PARENT, INC."
20629,CSS INDUSTRIES INC
20639,AMBASE CORPORATION
20740,CLARCOR INC.
21076,THE CLOROX COMPANY
21175,CNA FINANCIAL CORPORATION
21239,COASTAL CARIBBEAN OILS & MINERALS LTD
21344,COCA COLA CO
21510,"COHERENT, INC."
21535,COHU INC
21665,COLGATE-PALMOLIVE COMPANY
21828,"CCOM GROUP, INC."
22252,COMARCO INC
22356,"COMMERCE BANCSHARES, INC."
22444,COMMERCIAL METALS COMPANY
22551,TRI VALLEY CORP
22701,PINEAPPLE ENERGY INC.
22872,"ADVANZEON SOLUTIONS, INC."
23082,COMPUTER SCIENCES CORP
23111,COMPUTER TASK GROUP INC
23194,"COMSTOCK RESOURCES, INC."
23197,COMTECH TELECOMMUNICATIONS CORP /DE/
23217,CONAGRA BRANDS INC.
23503,CONOLOG CORP
23666,HILLSHIRE BRANDS CO
23675,CON-WAY INC.
23795,"CTO REALTY GROWTH, INC."
24090,"CITIZENS, INC."
24104,CONTINENTAL MATERIALS CORP
24491,COOPER TIRE & RUBBER CO
24545,MOLSON COORS BEVERAGE COMPANY
24741,CORNING INC /NY
24751,CORNING NATURAL GAS CORP
25212,COURIER CORP
25232,COUSINS PROPERTIES INC
25354,CPI CORP
25445,"CRANE NXT, CO."
25475,CRAWFORD & CO
25598,OneMain Finance Corporation
25600,SPRINGLEAF FINANCE INC
25743,"THERAPEUTICSMD, INC."
25793,COSTA INC
25895,CROWN CRAFTS INC
26058,CTS CORPORATION
26076,Cubic Corporation
26172,CUMMINS INC.
26324,CURTISS-WRIGHT CORPORATION
26780,Dana Inc.
27093,U.S. GOLD CORP
27367,DAXOR CORP
27419,TARGET CORPORATION
27673,DEERE JOHN CAPITAL CORP
27748,DGT HOLDINGS CORP.
27904,"DELTA AIR LINES, INC."
27996,DELUXE CORPORATION
28385,DTE ELECTRIC CO
28412,Comerica Incorporated
28561,DEWEY ELECTRONICS CORP
28823,"Diebold Nixdorf, Incorporated"
28917,"DILLARD’S, INC."
29002,DIODES INC /DEL/
29006,DIONICS INC
29332,"THE DIXIE GROUP, INC"
29504,OMEGA COMMERCIAL FINANCE CORP
29534,DOLLAR GENERAL CORPORATION
29644,"DONALDSON COMPANY, INC."
29669,RR Donnelley & Sons Co
29834,ESCALERA RESOURCES CO.
29905,DOVER Corp
29915,DOW CHEMICAL CO /DE/
29952,"China Changjiang Mining & New Energy Company, Ltd."
29989,OMNICOM GROUP INC.
30302,ALCO STORES INC
30305,DUCOMMUN INCORPORATED
30419,DEX ONE CORP
30554,DUPONT E I DE NEMOURS & CO
30625,FLOWSERVE CORP
30697,Wendy's Co
30822,DYNAMICS RESEARCH CORP
30828,COBRA ELECTRONICS CORP
30831,DYNASIL CORP OF AMERICA
31107,The Eastern Company
31235,EASTMAN KODAK CO
31277,EATON CORP
31347,ECHELON CORP
